Connections, minTime, maxTime, average
  4992,     0.663,    424.437,      7.727
  5988,     0.997,    943.482,     21.067
  6984,     0.704,    906.172,     17.332
  7980,     0.995,   1031.509,     22.307
  8976,     1.120,    922.768,     28.762
  9972,     1.315,   1740.972,     34.357
 10968,     0.753,   1668.922,     18.261
 11964,     1.409,   1722.089,     44.977
 12960,     1.006,   1751.847,     55.466
 13956,     1.784,   1840.472,     59.314
 14952,     1.536,   1843.281,     56.005
 15948,     1.235,   3481.745,     64.036
 16944,     1.258,   3598.704,     74.109
 17940,     2.240,   3491.595,     84.589
 18936,     0.907,   1937.584,     95.375
 19932,     1.068,   1887.110,     82.677
 20928,     2.421,   1828.299,     94.099
 21924,     1.093,   1780.622,     95.990
 22920,     1.724,   1831.594,    108.997
 23916,     1.028,   3490.744,    108.983
 24912,     2.029,   1882.211,    100.891
 25908,     1.349,   3620.173,    126.064
 26904,     1.825,   3552.423,    127.307
 27900,     1.322,   7093.894,    119.706
 28896,     2.845,   3675.208,    169.116
 29892,     1.593,   4133.389,    170.829
 30888,     2.619,   3655.884,    149.339
 31884,     1.946,   3728.724,    166.503
 32880,     1.534,   7106.117,    143.914
 33876,     2.466,   7202.786,    175.719
 34872,     2.228,  13744.879,    171.566
 35868,     2.496,   7024.352,    176.350
 36864,     3.298,   6798.310,    168.739
 37860,     4.031,  13659.746,    172.157
 38856,     3.627,   3934.471,    208.235
 39852,     2.081,   6983.399,    166.077
 40848,     2.433,  13768.018,    169.685
