Connections, minTime, maxTime, average
  4992,     0.681,    402.828,     12.524
  5184,     0.689,    428.079,     68.198
  5376,     1.145,    825.140,    179.031
  5568,     0.733,    416.057,     70.605
  5760,     0.780,    830.741,    119.146
  5952,     1.273,    422.752,     91.882
  6144,     0.847,    844.025,     67.268
  6336,     0.854,    424.646,     53.158
  6528,     0.898,    423.858,     91.653
  6720,     1.846,    614.661,     91.628
  6912,     0.917,    433.577,     75.761
  7104,     0.963,    858.395,     86.888
  7296,     0.963,   1683.126,    161.458
  7488,     0.976,    435.827,    142.696
  7680,     1.026,    453.843,     62.440
  7872,     1.058,    618.123,    156.535
  8064,     1.867,    862.802,     92.933
  8256,     2.029,    851.786,    174.572
  8448,     1.171,    444.525,     95.442
  8640,     1.166,    429.443,    101.476
  8832,     1.228,    615.054,    122.497
  9024,     1.270,    856.755,    101.973
  9216,     2.101,    429.387,    113.642
  9408,     1.424,    851.870,    179.385
  9600,     1.330,    856.770,    118.480
  9792,     1.445,    852.974,     74.138
  9984,     1.705,    618.182,    157.781
 10176,     1.427,    615.191,    137.025
 10368,     1.604,    869.507,    124.510
 10560,     1.500,    446.156,    147.079
 10752,     1.566,   1727.463,    152.342
 10944,     1.872,    443.615,    135.544
 11136,     1.635,    454.453,    159.312
 11328,     1.668,    446.259,    153.740
 11520,     1.712,    448.077,    160.070
 11712,     1.669,    867.257,    135.691
 11904,     1.809,    886.914,    141.150
 12096,     2.466,    861.259,    196.640
 12288,     1.790,    620.620,    128.013
 12480,     1.909,    447.628,    134.949
 12672,     1.852,    454.291,    161.462
 12864,     1.986,    623.510,    147.358
 13056,     2.906,    446.239,    138.660
 13248,     1.998,    874.301,    212.297
 13440,     2.016,    461.332,    144.944
 13632,     2.148,    459.274,    134.274
 13824,     2.146,   3511.503,    157.625
 14016,     3.527,    873.282,    182.959
 14208,     2.209,   3544.417,    199.470
 14400,     3.126,    892.677,    170.880
 14592,     2.267,    463.611,    158.479
 14784,     2.325,    897.400,    131.757
 14976,     2.360,    461.783,    104.502
 15168,     2.677,    893.982,    135.146
 15360,     3.207,    898.442,    169.094
 15552,     2.558,    455.528,    129.120
 15744,     2.367,    454.810,     83.930
 15936,     2.309,    885.062,    243.302
 16128,     2.707,    904.909,    130.240
 16320,     4.485,    893.095,    116.701
 16512,     2.710,   1739.926,    191.839
 16704,     2.870,    463.432,    159.197
 16896,     2.823,    451.912,    125.357
 17088,     2.918,    892.006,    173.301
 17280,     3.700,    471.943,    152.474
 17472,     2.766,    471.199,    171.192
 17664,     2.975,    883.154,    158.987
 17856,     2.780,    668.806,    188.566
 18048,     2.887,   1779.289,    144.957
 18240,     3.158,    462.675,    159.812
 18432,     3.011,    913.292,    149.293
 18624,     3.209,    880.667,    168.044
 18816,     2.897,    923.995,    206.896
 19008,     3.259,   1796.144,    138.785
 19200,     5.788,   1799.966,    164.847
 19392,     5.131,    934.121,    359.925
 19584,     3.312,    916.432,    108.090
 19776,     5.662,    900.478,    207.472
 19968,     3.466,    461.703,    180.119
 20160,     3.278,    919.262,    212.100
 20352,     4.869,    922.168,    166.893
 20544,     3.255,    921.298,    304.220
 20736,     4.112,   1793.775,    194.082
 20928,     3.870,   1811.373,    205.928
 21120,     5.612,    916.834,    174.468
 21312,     4.732,   1845.039,    162.774
 21504,     6.267,    924.098,    205.065
 21696,     3.749,    635.813,    141.710
 21888,     3.873,    928.151,    152.628
 22080,     4.039,    468.051,    183.008
 22272,     3.748,   1817.063,    189.314
 22464,     3.880,    929.147,    125.561
 22656,     4.059,    916.869,    155.427
 22848,     4.215,    920.801,    163.946
 23040,     6.556,   1819.168,    262.939
 23232,     6.211,    926.115,    211.033
 23424,     4.115,    917.980,    263.549
 23616,     4.313,   1817.683,    212.142
 23808,     4.451,   3668.687,    155.941
 24000,     4.522,    928.670,    192.645
 24192,     6.330,    932.731,    246.577
 24384,     4.038,   1844.489,    162.828
 24576,     4.213,   1785.619,    145.195
 24768,     4.165,    949.097,    337.470
 24960,     4.148,    930.751,    213.876
 25152,     4.117,   1819.892,    241.355
 25344,     7.607,    914.242,    213.687
 25536,     4.537,   1812.883,    133.588
 25728,     4.615,   1795.928,    162.843
 25920,     5.375,    924.560,    178.718
 26112,     4.361,   1819.916,    241.666
 26304,     4.769,   1826.982,    196.387
 26496,     5.079,   3609.562,    238.448
 26688,     4.549,   1831.881,    183.408
 26880,     4.920,    935.429,    287.514
 27072,     4.862,   1857.747,    204.366
 27264,     7.455,   3642.909,    205.782
 27456,     5.271,   1827.339,    197.487
 27648,     7.599,   1844.999,    308.539
 27840,     6.275,   1820.232,    282.146
 28032,     4.688,    922.618,    237.307
 28224,     5.560,   3575.365,    259.731
 28416,     5.280,   1837.018,    190.552
 28608,     6.158,    929.655,    278.961
 28800,     5.009,    924.024,    214.368
 28992,     8.160,   3646.258,    336.279
 29184,     5.102,   3602.195,    307.697
 29376,     5.480,   1834.075,    216.474
 29568,     7.910,   1846.727,    252.693
 29760,     5.421,   1839.242,    319.285
 29952,     7.558,   1849.805,    294.577
 30144,     6.057,    461.991,    130.708
 30336,     5.443,   3636.534,    316.821
 30528,     5.324,    907.948,    225.532
 30720,     5.488,   1825.563,    207.389
 30912,     5.771,    951.027,    324.677
 31104,     6.156,    934.101,    244.713
 31296,     5.495,    925.433,    204.164
 31488,     6.233,   3656.121,    217.142
 31680,     5.808,    920.521,    220.448
 31872,     6.216,    929.094,    259.209
 32064,     5.955,    936.984,    178.460
 32256,     6.377,   7280.987,    248.810
 32448,     6.222,   3658.779,    313.206
 32640,     5.617,    929.721,    311.718
 32832,     8.138,   1818.224,    290.663
 33024,     5.668,    944.241,    277.753
 33216,     5.917,    926.015,    296.268
 33408,     6.611,    932.424,    285.718
 33600,     5.767,    928.317,    269.234
 33792,     5.871,    932.775,    183.754
 33984,     6.719,   3607.636,    282.376
 34176,     6.170,   1843.613,    486.562
 34368,     6.412,   7197.488,    370.365
 34560,     7.134,    893.046,    211.577
 34752,     6.969,   7251.667,    334.224
 34944,     6.053,   1841.775,    470.145
 35136,     9.480,   1817.561,    331.262
 35328,     7.258,   3527.211,    493.638
 35520,     7.150,   3576.365,    380.115
 35712,     6.403,    918.986,    284.608
 35904,     8.835,   1820.052,    274.448
 36096,     7.060,   7181.530,    418.651
 36288,     6.586,    917.905,    206.983
 36480,     7.119,   1792.937,    325.415
 36672,     7.349,   3629.282,    217.723
 36864,     7.620,   3655.896,    319.544
 37056,     6.660,    938.154,    323.084
 37248,     7.306,   1833.544,    232.736
 37440,     6.509,   3592.724,    466.339
 37632,     6.522,   7150.124,    297.861
 37824,    10.737,   7194.720,    509.632
 38016,     6.696,    936.049,    279.730
 38208,     6.734,   1838.098,    304.056
