Connections, minTime, maxTime, average
    96,     0.231,      0.832,      0.531
   594,     0.390,      2.743,      1.342
  1092,     0.664,      4.121,      2.287
  1590,     0.988,      5.260,      3.058
  2088,     1.346,      8.153,      4.007
  2586,     1.579,      8.721,      4.460
  3084,     2.049,     10.113,      4.844
  3582,     2.155,     11.914,      5.898
  4080,     2.266,     14.265,      7.413
  4578,     2.658,     14.724,      7.752
  5076,     3.259,     14.653,      7.113
  5574,     3.500,     16.447,      8.670
  6072,     3.752,     12.517,      7.778
  6570,     4.024,     12.778,      8.241
  7068,     4.501,     22.240,     11.235
  7566,     4.567,     19.876,     10.636
  8064,     5.024,     19.127,     11.204
  8562,     5.415,     16.254,     10.843
  9060,     5.871,     19.144,     10.524
  9558,     5.954,     25.012,     13.250
 10056,     6.404,     23.304,     12.479
 10554,     6.261,    202.550,     17.262
 11052,     7.005,    202.605,     16.512
 11550,     8.218,     18.557,     13.500
 12048,     7.362,    209.608,     22.191
 12546,     9.998,    210.413,     25.025
 13044,    10.367,    213.330,     27.107
 13542,    11.393,    214.323,     29.356
 14040,    11.507,    218.716,     33.248
 14538,     9.716,    228.126,     36.593
 15036,    12.018,    225.413,     41.977
 15534,    11.176,    226.506,     41.380
 16032,    11.458,    223.268,     43.622
 16530,    13.470,    219.370,     44.984
 17028,    13.731,    223.865,     46.375
 17526,    15.583,    225.996,     46.383
 18024,    13.959,    227.277,     54.130
 18522,    15.421,    227.699,     52.565
 19020,    17.582,    229.733,     47.071
 19518,    12.964,    236.836,     59.062
 20016,    15.486,    228.145,     64.184
 20514,    13.208,    237.928,     60.877
 21012,    15.909,    230.636,     67.915
 21510,    15.533,    233.632,     70.098
 22008,    15.733,    228.954,     71.209
 22506,    17.133,    236.953,     68.403
 23004,    15.944,    467.757,    169.432
 23502,    24.975,    231.688,     49.208
 24000,    17.822,    235.450,     77.053
 24498,    17.767,    244.450,     78.189
 24996,    20.412,    232.894,     70.907
 25494,    18.913,    243.795,     82.405
 25992,    21.474,    239.678,     63.718
 26490,    19.808,    245.021,     82.586
 26988,    20.310,    246.951,     85.186
 27486,    19.775,    252.039,     85.814
 27984,    19.312,    252.152,     88.940
 28482,    20.414,    240.443,     87.162
 28980,    20.858,    253.466,     90.479
 29478,    26.766,    243.346,     77.308
 29976,    21.888,    254.521,     87.628
 30474,    22.939,    255.624,     91.194
 30972,    22.637,    254.741,     95.237
 31470,    22.883,    257.088,     88.290
 31968,    24.744,    246.468,     78.302
 32466,    22.086,    263.260,    100.016
 32964,    29.131,    230.232,     73.299
 33462,    29.048,    251.491,     61.156
 33960,    26.212,    262.699,     81.152
 34458,    25.180,    265.558,    102.305
 34956,    22.940,    269.603,     88.780
 35454,    23.136,    272.381,    107.460
 35952,    23.525,    274.688,     91.445
 36450,    25.033,    274.409,    108.896
 36948,    28.479,    268.677,     81.930
 37446,    23.058,    254.679,    113.797
 37944,    34.080,    253.067,     80.257
 38442,    25.626,    286.674,    113.223
 38940,    25.045,    285.374,     96.614
 39438,    23.832,    281.556,    121.063
 39936,    22.615,    285.563,    113.276
 40434,    25.617,    292.291,    119.220
 40932,    28.420,    288.025,     96.491
 41430,    25.472,    266.967,    123.155
 41928,    25.125,    304.542,    105.657
 42426,    27.225,    303.334,    123.676
 42924,    33.189,     33.198,     92.696
 43422,    29.135,    450.249,    123.098
 43920,    28.225,    461.651,    106.835
 44418,    26.649,    281.954,    135.067
 44916,    28.626,    462.111,    108.475
 45414,    26.877,    475.422,    141.126
 45912,    27.176,    278.832,    116.704
 46410,    27.435,    479.236,    142.068
