Connections, minTime, maxTime, average
   996,     0.283,    201.066,      2.299
  1992,     0.325,    402.422,     27.558
  2988,     0.380,    404.293,     37.816
  3984,     0.754,    416.535,     33.651
  4980,     0.902,    604.073,     49.881
  5976,     0.489,    811.316,     70.567
  6972,     0.680,    425.907,     62.468
  7968,     0.550,    406.234,     57.489
  8964,     0.694,    813.436,     50.452
  9960,     2.349,    813.183,     77.623
 10956,     0.955,   1632.250,     99.371
 11952,     2.586,   1630.147,     77.234
 12948,     1.063,    827.400,     94.192
 13944,     2.677,    831.697,    128.240
 14940,     1.003,    821.541,    122.036
 15936,     1.162,    821.830,    112.100
 16932,     4.093,   3252.856,    156.829
 17928,     1.071,   3268.856,    206.536
 18924,     4.151,   1652.252,    122.096
 19920,     1.076,    615.139,     85.999
 20916,     1.529,   1659.226,    160.373
 21912,     1.234,    838.071,    108.732
 22908,     1.244,   1643.817,    205.076
 23904,     5.351,   1659.688,    142.749
 24900,     1.413,   1659.918,    140.527
 25896,     1.317,    834.105,    144.591
 26892,     6.610,   3310.632,    133.410
 27888,     7.030,    832.955,    166.591
 28884,     1.476,   1666.428,    241.190
 29880,     1.428,   2011.639,    170.920
 30876,     2.562,    862.324,     99.386
 31872,     1.479,   4387.215,    139.618
 32868,
