Connections, minTime, maxTime, average
   996,     1.504,    203.175,     21.567
  1992,     1.759,   1644.615,     34.929
  2988,     1.755,   1186.226,     48.810
  3984,     1.770,   1225.711,     38.023
  4980,     1.741,   1061.193,     53.578
  5976,     1.961,    827.151,    107.167
  6972,     2.161,    933.057,     99.676
  7968,     2.493,   1465.031,    185.205
  8964,     2.703,   2091.416,    137.025
  9960,     3.034,   3004.244,    167.581
 10956,     3.423,    663.785,    109.453
 11952,     3.484,    679.575,    153.980
 12948,     4.191,    690.694,    142.033
 13944,     4.067,   1098.561,    130.075
 14940,     4.672,    692.517,    132.567
 15936,     5.078,   3004.907,    186.138
 16932,     5.227,   1117.144,    146.857
 17928,     5.711,    755.403,    144.157
 18924,     5.130,   2658.161,    121.694
 19920,     6.305,    641.349,    166.713
 20916,     6.516,   3064.307,    182.761
 21912,     6.885,   2313.499,    157.045
 22908,     7.047,   2977.127,    185.594
 23904,     7.500,    686.453,    204.623
 24900,     7.511,   1698.107,    311.349
 25896,     8.197,   2594.093,    205.748
 26892,     7.702,   1117.318,    191.595
 27888,     8.630,    889.159,    204.591
 28884,     9.206,    944.283,    231.014
 29880,     9.538,   2108.313,    222.425
 30876,     9.789,   2276.404,    280.878
 31872,    10.266,   2190.750,    222.036
 32868,    10.242,   2879.389,    259.235
 33864,    10.499,   1282.366,    260.675
 34860,    11.264,   3614.790,    320.633
 35856,    11.455,   3386.866,    263.175
 36852,    11.227,   1996.328,    380.805
 37848,    12.128,   1710.729,    294.384
 38844,    10.906,   2666.971,    322.486
 39840,    12.925,   3388.781,    311.764
 40836,    12.692,   2336.016,    345.832
 41832,    13.383,   2727.544,    346.313
 42828,    13.637,   3397.289,    267.862
 43824,    13.596,   3961.363,    326.675
 44820,    12.176,   3391.518,    270.091
 45816,    12.554,   3390.472,    259.506
 46812,    14.685,   2681.811,    334.223
 47808,    15.611,   2433.629,    294.420
 48804,    13.704,   3685.466,    392.769
 49800,    15.763,   3452.592,    363.587
 50796,    15.920,   3501.210,    397.447
 51792,    15.834,   5292.240,    358.091
 52788,    16.787,   4043.365,    396.800
 53784,    16.436,   3403.442,    302.526
 54780,    16.699,   2380.182,    431.337
 55776,    17.561,   3662.581,    357.537
 56772,    15.866,   3229.822,    335.634
 57768,    17.358,   3686.007,    709.749
 58764,    17.051,   3634.525,    419.785
 59760,    16.253,   2644.022,    348.054
 60756,    17.947,   3163.549,    505.129
 61752,    17.679,   2848.226,    369.084
 62748,    18.969,   2352.452,    384.503
 63744,    16.978,   2326.640,    339.802
 64740,    19.965,   4603.704,    418.098
 65736,    18.248,   3726.908,    416.849
 66732,    20.608,   4310.538,    480.228
 67728,    19.176,   3803.867,    408.366
 68724,    21.551,   6902.594,    499.542
 69720,    22.608,   3571.475,    551.590
 70716,    21.332,   3873.692,    623.382
 71712,    15.165,   3208.286,    479.988
 72708,    18.739,   2674.649,    478.775
 73704,    18.278,   3677.826,    459.311
 74700,    18.920,   3208.370,    515.582
 75696,    20.037,   3844.943,    555.201
 76692,    20.097,   3709.986,    543.634
 77688,    21.370,   6745.188,    545.137
 78684,    19.730,   4354.839,    645.002
 79680,    20.627,   4311.607,    499.227
 80676,    24.798,   3615.065,    643.257
 81672,    19.921,   3678.704,    444.632
 82668,    22.625,   7224.256,    553.527
 83664,    16.887,   4071.330,    600.147
 84660,    20.834,   4419.388,    563.133
 85656,    24.155,   6523.305,    716.443
 86652,    23.934,   6773.213,    478.775
 87648,    26.669,   6762.007,    675.425
 88644,    25.327,   7358.467,    601.159
 89640,    26.981,   7376.639,    513.380
 90636,    22.935,   6499.380,    585.685
 91632,    27.588,   4442.785,    544.050
 92628,    25.649,   7273.764,    737.474
 93624,    27.450,   4681.044,    670.329
 94620,    17.119,   4548.161,    537.781
 95616,    22.162,   4042.670,    684.069
 96612,    29.978,   6026.694,    743.631
 97608,    31.209,   6491.825,    625.932
 98604,    30.779,   6920.966,    549.621
 99600,    25.594,  14329.016,    764.077
100596,    17.725,   4096.563,    636.588
101592,    27.310,   6402.369,    595.338
102588,    26.349,   6781.700,    682.082
103584,    28.644,   7023.219,    587.804
104580,    21.343,  13884.966,    718.464
105576,    31.531,   3812.050,    679.051
106572,    29.734,   6463.588,    675.983
107568,    30.789,  12836.956,    896.643
108564,    29.661,   7081.463,    651.593
109560,    27.650,   7012.646,    765.735
110556,
